trial,seed,steps,rows,cols,final_prey,final_predators,final_vegetation,prey_extinct,predator_extinct,time_to_prey_extinction,time_to_predator_extinction,mean_prey,mean_predators,mean_vegetation,migration_rate,drought_probability,disease_probability,fragmentation_rate,predation_rate,stability_score,recovery_time_after_drought,scenario
0,42,160,6,6,227.392215,27.145585,23855.075278,false,false,,,481.609613,303.200030,19887.870316,0.000000,0.000000,0.015000,0.350000,0.00180000,0.500164,,migration_0.000_drought_0.000_fragmentation_0.350_predation_0.00180
1,10015,160,6,6,263.051957,27.485838,23926.026716,false,false,,,495.032012,303.058940,19963.771917,0.000000,0.000000,0.015000,0.350000,0.00180000,0.514415,,migration_0.000_drought_0.000_fragmentation_0.350_predation_0.00180
2,19988,160,6,6,261.340980,27.385477,23669.710621,false,false,,,491.796240,303.015076,19795.778171,0.000000,0.000000,0.015000,0.350000,0.00180000,0.510859,,migration_0.000_drought_0.000_fragmentation_0.350_predation_0.00180
3,29961,160,6,6,250.935767,27.247330,23853.306914,false,false,,,485.618167,302.626787,19973.384476,0.000000,0.000000,0.015000,0.350000,0.00180000,0.507158,,migration_0.000_drought_0.000_fragmentation_0.350_predation_0.00180
4,39934,160,6,6,245.772360,27.159970,24070.562896,false,false,,,482.433011,302.516909,19877.262711,0.000000,0.000000,0.015000,0.350000,0.00180000,0.506341,,migration_0.000_drought_0.000_fragmentation_0.350_predation_0.00180
5,49907,160,6,6,260.153182,27.353617,23826.757888,false,false,,,490.933615,303.405808,19879.050312,0.000000,0.000000,0.015000,0.350000,0.00180000,0.507999,,migration_0.000_drought_0.000_fragmentation_0.350_predation_0.00180
6,59880,160,6,6,261.810583,27.382828,23896.020847,false,false,,,491.070430,302.689257,20052.794105,0.000000,0.000000,0.015000,0.350000,0.00180000,0.512652,,migration_0.000_drought_0.000_fragmentation_0.350_predation_0.00180
7,69853,160,6,6,266.995915,27.495908,23953.444499,false,false,,,496.183298,303.196066,19984.193693,0.000000,0.000000,0.015000,0.350000,0.00180000,0.513694,,migration_0.000_drought_0.000_fragmentation_0.350_predation_0.00180
0,1000045,160,6,6,124.546545,25.997719,15864.450318,false,false,,,433.929265,302.054331,15201.101738,0.000000,0.010000,0.015000,0.350000,0.00180000,0.462804,,migration_0.000_drought_0.010_fragmentation_0.350_predation_0.00180
1,1010018,160,6,6,153.739836,26.226507,17120.316276,false,false,,,443.130429,302.080267,15250.350102,0.000000,0.010000,0.015000,0.350000,0.00180000,0.471554,,migration_0.000_drought_0.010_fragmentation_0.350_predation_0.00180
